Date,Brazil_Interbank_Rate,Brazil_Policy_Rate,Chile_Interbank_Rate,Chile_Policy_Rate,Colombia_Interbank_Rate,Colombia_Policy_Rate,Czech Republic_10Y_Bond,Czech Republic_Interbank_Rate,Greece_10Y_Bond,Hungary_10Y_Bond,Indonesia_Interbank_Rate,Kuwait_Interbank_Rate,Kuwait_Policy_Rate,Malaysia_10Y_Bond,Malaysia_Interbank_Rate,Mexico_10Y_Bond,Mexico_Interbank_Rate,Peru_Interbank_Rate,Peru_Policy_Rate,Philippines_10Y_Bond,Philippines_Interbank_Rate,Philippines_Policy_Rate,Poland_10Y_Bond,Poland_Interbank_Rate,Qatar_Interbank_Rate,South Africa_10Y_Bond,South Africa_Interbank_Rate,South Korea_10Y_Bond,South Korea_Interbank_Rate,South Korea_Policy_Rate,Thailand_10Y_Bond,Thailand_Interbank_Rate,Thailand_Policy_Rate,Turkey_Policy_Rate
1974-01-01,18.0,,,,,14.0,,,,,,,,,4.232,,,,9.5,,,,,,,8.25,,19.3,,11.0,,,,8.75
1974-02-01,18.0,,,,,16.0,,,,,,,,,1.823,,,,9.5,,,,,,,8.25,,20.0,,11.0,,,,8.75
1974-03-01,18.0,,,,,16.0,,,,,,,,,4.069,,,,9.5,,,,,,,8.25,,20.7,,11.0,,,,8.75
1974-04-01,18.0,,,,,16.0,,,,,,,,,2.431,,,,9.5,,,,,,,8.25,,21.4,,11.0,,,,8.75
1974-05-01,18.0,,,,,16.0,,,,,,,,,3.279,,,,9.5,,,,,,,8.25,,21.6,,11.0,,,,8.75
1974-06-01,18.0,,,,,16.0,,,,,,,,,5.582,,,,9.5,,,,,,,8.5,,21.7,,11.0,,,,8.75
1974-07-01,18.0,,,,,16.0,,,,,,,,,3.463,,,,9.5,,,,,,,9.25,,21.5,,11.0,,,,8.75
1974-08-01,18.0,,,,,16.0,,,,,,,,,3.844,,,,9.5,,,,,,,9.75,,21.3,,11.0,,,,8.75
1974-09-01,18.0,,,,,16.0,,,,,,,,,2.864,,,,9.5,,,,,,,9.75,,21.0,,11.0,,,,8.75
1974-10-01,18.0,,,,,16.0,,,,,,,,,3.298,,,,9.5,,,,,,,9.75,,20.9,,11.0,,,,9.0
1974-11-01,18.0,,,,,16.0,,,,,,,,,4.176,,,,9.5,,,,,,,9.75,,21.1,,11.0,,,,9.0
1974-12-01,18.0,,,,,16.0,,,,,,,,,2.917,,,,9.5,,,,,,,9.5,,21.1,,11.0,,,,9.0
1975-01-01,18.0,,,,,16.0,,,,,,,5.5,,3.117,,,,9.5,,,,,,,9.5,,20.9,,11.0,,,,9.0
1975-02-01,18.0,,,,,16.0,,,,,,,5.5,,2.862,,,,9.5,,,,,,,9.5,,20.7,,11.0,,,,9.0
1975-03-01,18.0,,,,,16.0,,,,,,,5.5,,4.356,,,,9.5,,,,,,,9.5,,20.8,,11.0,,,,9.0
1975-04-01,18.0,,,,,16.0,,,,,,,5.5,,3.508,,,,9.5,,,,,,,9.5,,20.6,,11.0,,,,9.0
1975-05-01,18.0,,,,,16.0,,,,,,,5.5,,5.335,,,,9.5,,,,,,,9.5,,20.9,,11.0,,,,9.0
1975-06-01,18.0,,,,,16.0,,,,,,,5.5,,3.599,,,,9.5,,,,,,,9.5,,21.1,,11.0,,,,9.0
1975-07-01,18.0,,,,,16.0,,,,,,,5.5,,4.976,,,,9.5,,,,,,,9.5,,21.5,,11.0,,,,9.0
1975-08-01,18.0,,,,,16.0,,,,,,,5.5,,4.789,,,,9.5,,,,,,,10.0,,21.5,,11.0,,,,9.0
1975-09-01,18.0,,,,,16.0,,,,,,,5.5,,5.007,,,,9.5,,,,,,,10.0,,21.2,,11.0,,,,9.0
1975-10-01,18.0,,,,,16.0,,,,,,,5.5,,4.48,,,,9.5,,,,,,,10.0,,21.2,,11.0,,,,9.0
1975-11-01,18.0,,,,,16.0,,,,,,,5.5,,4.95,,,,9.5,,,,,,,10.0,,21.3,,14.0,,,,9.0
1975-12-01,18.0,,,,,16.0,,,,,,,5.5,,4.562,,,,9.5,,,,,,,10.0,,21.5,,14.0,,,,9.0
1976-01-01,18.0,,,,,16.0,,,,,,,5.5,,5.166,,,,9.5,,,,,,,10.17,,21.4,0.0,14.0,,,,9.0
1976-02-01,18.0,,,,,16.0,,,,,,,5.5,,3.582,,,,9.5,,,,,,,10.02,,21.4,0.0,14.0,,,,9.0
1976-03-01,22.0,,,,,16.0,,,,,,,5.5,,3.905,,,,9.5,,,,,,,9.92,,21.3,0.0,14.0,,,,9.0
1976-04-01,22.0,,,,,16.0,,,,,,,5.5,,4.229,,,,9.5,,,,,,,9.989999999,10.44311377245506,21.7,0.0,14.0,,,,9.0
1976-05-01,28.0,,,,,16.0,,,,,,,5.5,,4.249,,,,9.5,,,,,,,10.01,10.44311377245506,21.3,0.0,14.0,,,,9.0
