Date,Brazil,Chile,China,Colombia,Czech Republic,Greece,Hungary,India,Indonesia,Kuwait,Malaysia,Mexico,Peru,Philippines,Poland,Qatar,Saudi Arabia,South Africa,South Korea,Thailand,Turkey,UAE,United States
1974-01-01,5908911334.0128,142486030.5210037,,558964835.1251158,,1011801133.751208,,1099408995.990578,868357158.3185997,493293286.9941087,1359324715.301675,1290619971.924413,530414336.0736306,1072783400.72234,,,3857710433.559566,1251794316.637077,886412521.9320977,1409829603.805814,2248647603.685644,97523795.16801229,14565394116.47794
1974-02-01,6097911334.0128,249109506.0083352,,598964835.1251158,,985143356.0012077,,1248790938.087323,850148587.2345674,670324400.0363107,1369324715.301675,1279619971.924413,,1142661499.520672,,,4288710433.559566,1343768686.644477,834412521.9320977,1568829603.805814,2222647603.685644,73723795.16801229,14643155803.03173
1974-03-01,6535911334.0128,338309506.0083352,,588964835.1251158,,947918912.0012077,,1356287538.803194,932521215.2847183,656464400.8263026,1480324715.301675,1538588062.332245,489366082.2585051,1188661499.520672,,38131726.89068305,4864710433.559566,1474086776.646277,767612521.9320977,1684829603.805814,2255647603.685644,81023795.16801229,14588257377.31739
1974-04-01,6524971651.281707,376032366.2520446,,572940708.217553,,956489068.312122,,1382048973.807757,1280468202.43599,667635510.7085377,1495336778.755456,1549636316.147371,,1299531334.856784,,,5512710433.559566,1332767626.629584,690272839.2010046,1718829603.805814,2234528235.811684,96023795.16801229,14642024190.82094
1974-05-01,6338092285.819521,448341257.0167576,,535940708.217553,,971395735.312122,,1502701594.908221,1263144075.528428,984190119.8856049,1504336778.755456,1555708696.870059,,1424036733.251748,,,6226710433.559566,1291097780.085165,612036648.8396604,1711829603.805814,2252528235.811684,110723795.1680123,14869480792.75164
1974-06-01,6516092285.819521,441141257.0167576,,536940708.217553,,956986846.812122,,1493515092.65321,1386163111.662838,959567894.5911928,1508336778.755456,1546708696.870059,520341955.3509424,1538639905.940817,,54731726.89068305,7087710433.559566,1261586645.082465,573636648.8396604,1829829603.805814,2169528235.811684,78523795.16801229,14946217146.02836
1974-07-01,6162167068.050677,398629929.7517442,,507725050.6167897,,972451553.0731434,,1399518318.352981,1827039000.879228,942212829.2403657,1510777550.151415,1307232424.491844,,1518424502.008258,,,8345299297.517442,1276212531.95366,448580704.5225202,1837619863.433043,2262237279.649522,135611115.3937435,14911906846.36693
1974-08-01,6112140872.483198,362885684.1637178,,506553502.3461548,,981982770.4470781,,1318228876.040642,1683275317.713044,941322153.3674597,1496742824.090019,1254085716.713609,,1546323678.913399,,,9281683949.96231,1154649466.677704,399253480.9706024,1798480460.183945,2198007686.654284,102242233.2047363,15460135901.04379
1974-09-01,5702362703.243661,451495030.7083527,,429714947.2033845,,988203030.1846884,,1276842634.813494,1588998189.854748,1039594552.2495,1520161018.124882,1356669023.80034,777035668.4877716,1535913399.141605,,50735633.9921123,11549521220.20314,1155550396.926442,304189039.2949524,1770637475.306145,2143706327.738661,179261268.8364511,15893180269.94692
1974-10-01,5530576328.704768,350913908.097605,,427220751.0650596,,953736205.2166972,,1406570472.870492,2026387342.706485,1160246805.166172,1491471419.135856,1281440400.442333,,1557146633.565748,,,10681194484.11434,1178078644.084996,234995389.5063163,1792129400.886887,2086280809.264841,340560085.1238797,15889695145.73088
1974-11-01,5311885681.588401,230891628.8718881,,422976923.9125432,,915979268.6778209,,1440433330.466632,1734481948.047731,1438726543.968788,1515430732.21769,1493016567.632394,,1565443564.779187,,,12805017283.6041,1286326031.011672,210033185.3226479,1823864825.812089,1934139654.687727,418566225.8030392,15839201993.99464
1974-12-01,5271752779.692631,101771541.2322734,,449089034.8181708,,936399007.5716335,,1255733777.723853,1491906990.687049,1399758787.638003,1618208979.684633,1392281925.418416,967565720.7796661,1503926734.945304,,71521749.35858975,14282843235.13498,1159205355.948734,281889602.8229708,1858170772.414382,1712402767.168186,452878020.5754178,15883847549.12931
1975-01-01,4992813150.074723,200988822.6973114,,412016811.921921,,933965769.6572024,,1154633496.59049,1624322774.68262,1651546276.93839,1609671035.018763,1388580494.50036,999554447.8060364,1606329819.039768,,,15780034405.16748,1189299349.911608,288547732.2021975,1906087639.627449,1696456517.143032,612590022.0352468,15948012555.36135
1975-02-01,4830810539.761045,150476520.3575409,,389387189.5746048,,939729410.2292502,,1263715772.281014,1395205586.089227,1608756220.514499,1571306978.056694,1414516450.641819,996014851.8363425,1582925196.348578,,,17674254547.89359,1217640010.639038,326685300.1654697,2036441902.773398,1534012963.633474,678889352.4064347,16132295325.88358
1975-03-01,4501207380.489767,146571505.2195198,,377821461.634966,,907390791.5290555,,1309241553.213631,940790470.2363192,1705776693.978363,1488122252.517914,1473521450.961701,1022137458.73754,1559694269.147095,,111193126.2191386,19017386226.46004,1223462589.17091,305619695.1206553,2221628277.835668,1378274670.802252,830695833.570764,16255800983.77885
1975-04-01,4315968418.347115,153146995.7322562,,346790843.2736502,,869481438.9536556,,1332310321.405919,909386409.0947881,1521592964.604884,1434389159.799559,1450840593.255698,873540721.0827614,1581140729.010007,,,19872512554.7145,1152420558.111991,445897338.3680074,2199272420.3971,1184112689.903338,850068974.2148783,16182631647.33418
1975-05-01,4196660915.102315,134700000.0,,339111016.9992905,,888543497.0644975,,1225738108.296291,553516878.8330563,1785811782.531021,1413373213.103602,1472708005.35331,698906033.7017541,1570115555.375188,,,20845052751.22736,1203971667.971798,438954456.1407841,2134612039.397801,1098282405.077979,814681791.5691009,16279852581.73638
1975-06-01,3799763424.802189,81700000.0,,383492501.2345508,,890474317.4436377,,1127265525.167905,654191710.6481766,1673466280.745376,1449567156.179392,1395296423.99204,639100318.0361308,1592332249.449588,,93035214.35247119,20854103790.1934,1118113710.028155,497928129.6790615,2124955958.997955,1165945160.550828,885163070.8949949,16241471277.58313
1975-07-01,3752059406.808942,191000000.0,,362875613.442518,,919350427.1843019,,1122327164.206105,729497564.9182312,1461996150.708987,1557683432.746206,1533954335.001354,681219372.2099124,1657060930.91213,,,20780975277.87364,1179430018.246231,553067810.0169928,2007091706.058658,1214466924.378826,932012719.8716272,16083555814.94875
1975-08-01,3888944543.755128,144700000.0,,403638368.6710804,,951999409.5366879,,1310958513.82939,569353986.9551071,1534883610.032953,1460991977.364006,1401039628.739082,560448998.4845066,1465244759.431005,,,21345525939.97386,1222165456.540983,648854169.9350168,1951840348.592029,1267666449.25914,971020727.5482762,16116684975.53556
1975-09-01,3768587081.679789,163735804.6963428,,379285489.8293018,,970670498.8121471,,1369204524.164992,437699631.2521034,1551836322.271066,1362046993.10716,1325866871.066614,576707203.1047481,1495106658.473072,,98544126.35175224,21097200510.91568,1083077443.902532,724688015.0462656,1891406992.669089,1154977847.341522,979924801.3503453,16291692801.86015
1975-10-01,3687602101.58728,122252616.4276767,,412565496.3899841,,973385460.3757612,,1498411323.485614,781736214.0392036,1676113333.082831,1477779734.64934,1413734239.257233,533765950.2891789,1449644385.981341,,,21117096802.59408,1129916369.044193,825750606.528228,1885763141.444942,1264629357.99054,982386285.4756571,16567689948.84052
1975-11-01,3674474355.154194,188635425.560138,,460687104.8640303,,942689290.2682507,,1505596431.036842,560942485.4861906,1689933358.460369,1452218237.836769,1737020301.674756,544864899.8221953,1455275375.930108,,,22641610308.2807,1131285472.389812,840122900.3746345,1816832498.095734,1155959772.555398,1073865740.934664,16591944733.4418
1975-12-01,4036374681.378771,110701884.7890494,,522665894.1135371,,931159851.7447639,,1293350311.058299,586740222.198245,1661106407.714217,1524156176.331191,1537965559.625456,467840727.1940918,1359498770.840648,,104377094.9114713,23319441396.30554,1092004996.491292,786021706.3565845,1774810025.606764,1094532078.536117,987879902.2902524,16225896589.34102
1976-01-01,3863839017.702764,145062862.0705019,,570551903.963853,,902965410.6319509,,1524674283.440567,1039128058.907193,1693885147.328382,1509824082.446306,1428983802.761436,372471968.0134488,1457791262.511151,,,23387650447.47432,1116598044.816202,790715289.5022502,1836689254.661753,1034480015.819457,1210460024.466656,16622458386.53895
1976-02-01,3668835197.838827,183562338.9137389,,602551091.0902507,,890044440.0339313,,1757306321.715571,866327972.1697143,1861932182.920929,1618821343.599916,1596981289.013679,359571461.6578038,1462790914.331885,,,23724361524.18806,999067388.891829,892056337.446392,1873688393.433714,904479644.5557284,1209358456.498906,16661487856.62786
1976-03-01,3545365826.393504,160406946.0983418,,598812802.8917483,,890611393.5048621,,2094864015.450336,760149193.3080022,1788923140.84758,1672668741.112349,1506698190.758421,482544968.3468402,1540445115.142569,,118892741.2965501,24726052869.80054,1397491957.455238,966963408.1526155,1909906187.570572,907245636.5069889,1208544321.114109,16941163613.7084
1976-04-01,3527802449.072312,288401012.6726053,,669935929.3783206,,864009176.7331662,,1922790461.760798,1186594250.582296,1867921308.337071,1744329204.114634,1545392730.454956,386545628.9847732,1675475283.099138,,,24396472278.9153,1238585602.64845,1043178661.515671,1923585841.932,899949423.8916019,1367843394.88093,17436869839.02106
1976-05-01,3403697357.104816,356258780.9853087,,695448104.9855478,,854184389.1153665,,2176415799.756388,1103744313.873784,1949365235.132937,1805125424.77841,1605060822.851834,371937590.074836,1755988485.554349,,,23260237134.80606,1095093898.726461,1109572739.952449,1902056841.369922,968232756.80464,1448758376.355803,17955330156.28995
1976-06-01,3718878812.6,380890174.6004036,,787668194.8662719,,869840993.7666816,,2373398792.659293,953459675.1410306,1833183884.339227,1933798591.984019,1774755182.399891,313844120.266492,1682188486.376616,,117823647.0450462,24661367056.51066,943203664.7130533,1182952002.801339,1896295508.54675,920351801.9086124,1657798550.817983,18476495244.30505
1976-07-01,3947924222.508487,417380405.8488806,,803717131.8247913,,879767500.73845,,2590927162.860073,1421163090.716956,1841665037.378999,2067948113.41008,1402400889.978915,334549403.4726035,1538201837.40862,,,24610234063.27988,812011951.1320642,1328955123.931064,1929348576.164824,917367685.1779411,1705320934.448758,18245401582.52006
1976-08-01,4407865728.055726,447066530.9394536,,844940551.0678502,,919159168.9229481,,2734784833.222919,1302678684.358469,1798826752.773111,2232112608.282152,1369646194.358562,331373523.6865696,1554262790.879264,,,24917503030.65386,747877312.1598263,1434247531.594798,1990211098.152099,1099445629.350214,1803138714.760389,18586282936.48101
1976-09-01,4593295196.198157,412562825.195736,,837084698.7759011,,947492587.2774887,,2613031944.202122,1202304309.143581,1839698221.429907,2321232575.681238,1089093342.065449,286741133.76195,1627954827.387016,,128970321.586058,26222051948.2328,804463775.4835145,1549576312.141623,1988607146.247116,1064362809.974108,1842531873.90635,18945884113.5667
1976-10-01,5010070275.92558,430804778.2535102,,902940648.1027468,,954178651.0622828,,2702540265.241986,1725794653.443845,1839451350.102945,2419810643.664611,772732181.3550227,260358987.6660397,1629911757.258391,,,26655549402.07478,818643799.4811256,1748295960.837967,1937457910.986418,856330656.018337,1809889960.570642,19013033516.95001
