Date,Brazil_Export_Momentum_YoY_%,Brazil_Exports,Brazil_Imports,Brazil_Trade_Balance,Chile_Export_Momentum_YoY_%,Chile_Exports,Chile_Imports,Chile_Trade_Balance,China_Export_Momentum_YoY_%,China_Exports,China_Imports,China_Trade_Balance,Colombia_Export_Momentum_YoY_%,Colombia_Exports,Colombia_Imports,Colombia_Trade_Balance,Czech Republic_Export_Momentum_YoY_%,Czech Republic_Exports,Czech Republic_Imports,Czech Republic_Trade_Balance,Greece_Export_Momentum_YoY_%,Greece_Exports,Greece_Imports,Greece_Trade_Balance,Hungary_Export_Momentum_YoY_%,Hungary_Exports,Hungary_Imports,Hungary_Trade_Balance,India_Export_Momentum_YoY_%,India_Exports,India_Imports,India_Trade_Balance,Indonesia_Export_Momentum_YoY_%,Indonesia_Exports,Indonesia_Imports,Indonesia_Trade_Balance,Malaysia_Export_Momentum_YoY_%,Malaysia_Exports,Malaysia_Imports,Malaysia_Trade_Balance,Mexico_Export_Momentum_YoY_%,Mexico_Exports,Mexico_Imports,Mexico_Trade_Balance,Peru_Export_Momentum_YoY_%,Peru_Exports,Peru_Imports,Peru_Trade_Balance,Philippines_Export_Momentum_YoY_%,Philippines_Exports,Philippines_Imports,Philippines_Trade_Balance,Poland_Export_Momentum_YoY_%,Poland_Exports,Poland_Imports,Poland_Trade_Balance,Qatar_Export_Momentum_YoY_%,Qatar_Exports,Qatar_Imports,Qatar_Trade_Balance,Saudi Arabia_Export_Momentum_YoY_%,Saudi Arabia_Exports,Saudi Arabia_Imports,Saudi Arabia_Trade_Balance,South Africa_Export_Momentum_YoY_%,South Africa_Exports,South Africa_Imports,South Africa_Trade_Balance,South Korea_Export_Momentum_YoY_%,South Korea_Exports,South Korea_Imports,South Korea_Trade_Balance,Thailand_Export_Momentum_YoY_%,Thailand_Exports,Thailand_Imports,Thailand_Trade_Balance,Turkey_Export_Momentum_YoY_%,Turkey_Exports,Turkey_Imports,Turkey_Trade_Balance,United States_Export_Momentum_YoY_%,United States_Exports,United States_Imports,United States_Trade_Balance
2005-01-01,,,,,,,,,,50727000000.0,44283000000.0,6444000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-01,,,,,,,,,,44276000000.0,39917000000.0,4359000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-01,,,,,,,,,,60845000000.0,55227000000.0,5618000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-01,,,,,,,,,,62084000000.0,57681000000.0,4403000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-01,,,,,,,,,,58422000000.0,49413000000.0,9009000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-01,,,,,,,,,,65930000000.0,56227000000.0,9703000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-01,,,,,,,,,,65532000000.0,54921000000.0,10611000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-01,,,,,,,,,,68372000000.0,57804000000.0,10568000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-01,,,,,,,,,,70148000000.0,62601000000.0,7547000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-10-01,,,,,,,,,,68025000000.0,56067000000.0,11958000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-11-01,,,,,,,,,,72195000000.0,61687000000.0,10508000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-01,,,,,,,,,,75397000000.0,64407000000.0,10990000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,,9282000000.0,6889000000.0,2393000000.0,,4073000000.0,3204000000.0,869000000.0,28.38527805705049,65126000000.0,55527000000.0,9599000000.0,,1667000000.0,1797000000.0,-130000000.0,,6895000000.0,6422000000.0,473000000.0,,1461000000.0,4834000000.0,-3373000000.0,,5238000000.0,5412000000.0,-174000000.0,,9168000000.0,12894000000.0,-3726000000.0,,7812000000.0,5684000000.0,2128000000.0,,11512000000.0,9106000000.0,2406000000.0,,19207000000.0,19051000000.0,156000000.0,,1467000000.0,1119000000.0,348000000.0,,3533000000.0,3894000000.0,-361000000.0,,7787000000.0,8690000000.0,-903000000.0,,,,,,,,,,3534000000.0,5024000000.0,-1490000000.0,,23249000000.0,22962000000.0,287000000.0,,8906000000.0,9390000000.0,-484000000.0,,5133000000.0,8146000000.0,-3013000000.0,,74338000000.0,150267000000.0,-75929000000.0
2006-02-01,,8757000000.0,6382000000.0,2375000000.0,,4291000000.0,2657000000.0,1634000000.0,22.201644231637907,54106000000.0,51598000000.0,2508000000.0,,1862000000.0,1702000000.0,160000000.0,,6709000000.0,6490000000.0,219000000.0,,4.996577686516085,-0.2275548200248242,5.22413250654091,,-2.061855670103093,1.016260162601626,-3.078115832704719,,-1.232547993019197,-10.53978594695207,9.307237953932873,,-0.9984639016897081,2.146375791695989,-3.1448396933856975,,11384000000.0,9324000000.0,2060000000.0,,18729000000.0,19034000000.0,-305000000.0,,1416000000.0,1086000000.0,330000000.0,,3448000000.0,3557000000.0,-109000000.0,,7861000000.0,8840000000.0,-979000000.0,,,,,,,,,,4336000000.0,4993000000.0,-657000000.0,,23785000000.0,23416000000.0,369000000.0,,9483000000.0,9801000000.0,-318000000.0,,6058000000.0,9796000000.0,-3738000000.0,,76935000000.0,140809000000.0,-63874000000.0
2006-03-01,,11379000000.0,8196000000.0,3183000000.0,,5644000000.0,3247000000.0,2397000000.0,28.22581970580984,78019000000.0,66902000000.0,11117000000.0,,1925000000.0,2154000000.0,-229000000.0,,7889000000.0,7576000000.0,313000000.0,,20.79530638852673,24.73564171677379,-3.9403353282470626,,22.28070175438596,20.68776294128407,1.5929388131018882,,27.67531750414136,24.09189423493715,3.5834232692042107,,-0.2327385570209465,13.81329658973476,-14.046035146755706,,13882000000.0,11208000000.0,2674000000.0,,20917000000.0,21748000000.0,-831000000.0,,1845000000.0,1307000000.0,538000000.0,,4174000000.0,4420000000.0,-246000000.0,,9095000000.0,10215000000.0,-1120000000.0,,,,,,,,,,4805000000.0,5249000000.0,-444000000.0,,26855000000.0,25754000000.0,1101000000.0,,11065000000.0,10776000000.0,289000000.0,,7411000000.0,11605000000.0,-4194000000.0,,90853000000.0,159452000000.0,-68599000000.0
