TIME_PERIOD,AED,BRL,CLP,CNY,COP,EUR,HUF,IDR,INR,KRW,KWD,MXN,MYR,PEN,PHP,PLN,QAR,SAR,THB,TRY,TWD,USD,XDR,ZAR
1/1/1976,,,,,32.98,,41.3,,,,,0.0125,,,,,,,,,,1,,0.87108
1/2/1976,,,,,32.98,,41.3,,8.97,,,0.0125,2.5907,,,,,,,1.50E-05,,1,0.8542,0.87108
1/3/1976,,,,,32.98,,,,,,,,,,,,,,,,,1,,
1/4/1976,,,,,33,,,,,,,,,,,,,,,,,1,,
1/5/1976,,,,,33,,41.3,,8.97,484,,0.0125,2.59,,,,,,,1.50E-05,,1,0.853,
1/6/1976,,,,,33.02,,41.3,,8.97,484,,0.0125,2.5833,,,,,,,1.50E-05,,1,0.8513,0.87108
1/7/1976,,,,,33.02,,41.3,,8.97,484,,0.0125,2.584,,,,,,,1.50E-05,,1,0.851,0.87108
1/8/1976,,,,,33.02,,41.3,,8.97,484,,0.0125,2.5826,,,,,,,1.50E-05,,1,0.8508,0.87108
1/9/1976,,,,,33.02,,41.3,,8.93,484,,0.0125,2.5846,,,,,,,1.50E-05,,1,0.8522,0.87108
1/10/1976,,,,,33.02,,,,,484,,,,,,,,,,,,1,,
1/11/1976,,,,,33.05,,,,,,,,,,,,,,,,,1,,
1/12/1976,,,,,33.05,,41.3,,8.93,484,,0.0125,2.5853,,,,,,,1.50E-05,,1,0.8515,0.87108
1/13/1976,,,,,33.07,,41.3,,8.93,484,,0.0125,2.588,,,,,,,1.50E-05,,1,0.8526,0.87108
1/14/1976,,,,,33.07,,41.3,,8.93,484,,0.0125,2.5893,,,,,,,1.50E-05,,1,0.8527,0.87108
1/15/1976,,,,,33.07,,41.3,,8.91,484,,0.0125,2.5893,,,,,,,1.50E-05,,1,0.8515,0.87108
1/16/1976,,,,,33.07,,41.3,,8.93,484,,0.0125,2.584,,,,,,,1.50E-05,,1,0.8521,0.87108
1/17/1976,,,,,33.07,,,,,484,,,,,,,,,,,,1,,
1/18/1976,,,,,33.09,,,,,,,,,,,,,,,,,1,,
1/19/1976,,,,,33.11,,41.3,,8.93,484,,0.0125,2.5853,,,,,,,1.50E-05,,1,0.8518,0.87108
1/20/1976,,,,,33.11,,41.3,,8.93,484,,0.0125,2.5853,,,,,,,1.50E-05,,1,0.8519,0.87108
1/21/1976,,,,,33.13,,41.3,,8.93,484,,0.0125,2.584,,,,,,,1.50E-05,,1,0.854,0.87108
1/22/1976,,,,,33.15,,41.3,,8.93,484,,0.0125,2.5853,,,,,,,1.50E-05,,1,0.8578,0.87108
1/23/1976,,,,,33.19,,41.3,,8.97,484,,0.0125,2.5907,,,,,,,1.50E-05,,1,0.856,0.87108
1/24/1976,,,,,33.19,,,,,484,,,,,,,,,,,,1,,
1/25/1976,,,,,33.19,,,,,,,,,,,,,,,,,1,,
1/26/1976,,,,,33.19,,41.3,,8.97,484,,0.0125,2.5826,,,,,,,1.50E-05,,1,0.8552,0.87108
1/27/1976,,,,,33.24,,41.3,,8.97,484,,0.0125,2.5773,,,,,,,1.50E-05,,1,0.8549,0.87108
1/28/1976,,,,,33.29,,41.3,,8.97,484,,0.0125,2.5773,,,,,,,1.50E-05,,1,0.8548,0.87108
1/29/1976,,,,,33.32,,41.3,,8.97,484,,0.0125,2.5773,,,,,,,1.50E-05,,1,0.8558,0.87108
1/30/1976,,,,,33.32,,41.3,,8.91,484,,0.0125,2.5727,,,,,,,1.50E-05,,1,0.8556,0.87108
1/31/1976,,,,,33.32,,,,,484,,,,,,,,,,,,1,,
