,interest_differential,real_interest_rate,fx_depreciation_mom,reserves_change_mom,reserves_change_yoy,reserve_adequacy_months,m2_reserves_ratio,inflation_accel_3m,Inflation_YoY_%,trade_to_reserves,export_growth_yoy,m2_growth_yoy,credit_boom_yoy,reer_misalignment,std_vulnerability,reserves_to_std_proxy,capital_flow_pct
interest_differential,1.0,0.882,0.535,0.017,0.046,0.02,0.053,0.394,0.678,-0.219,0.013,0.392,-0.02,-0.039,0.056,-0.097,0.167
real_interest_rate,0.882,1.0,0.411,0.016,0.027,0.154,0.118,0.534,0.267,0.08,-0.008,-0.22,-0.024,0.007,0.024,-0.054,-0.032
fx_depreciation_mom,0.535,0.411,1.0,-0.108,-0.013,-0.063,-0.044,0.151,0.46,-0.101,0.012,0.089,-0.02,0.138,0.154,-0.14,-0.152
reserves_change_mom,0.017,0.016,-0.108,1.0,0.272,0.029,-0.006,0.027,0.029,0.006,-0.022,0.05,-0.0,-0.065,-0.066,0.025,0.652
reserves_change_yoy,0.046,0.027,-0.013,0.272,1.0,0.088,-0.058,0.002,0.061,-0.037,-0.031,0.272,0.01,-0.206,-0.135,0.068,0.243
reserve_adequacy_months,0.02,0.154,-0.063,0.029,0.088,1.0,-0.158,-0.038,-0.164,0.254,0.061,-0.025,0.062,-0.115,-0.481,0.599,-0.199
m2_reserves_ratio,0.053,0.118,-0.044,-0.006,-0.058,-0.158,1.0,-0.005,-0.012,0.135,0.021,0.044,0.007,-0.09,0.64,-0.413,-0.102
inflation_accel_3m,0.394,0.534,0.151,0.027,0.002,-0.038,-0.005,1.0,-0.005,-0.035,0.013,0.099,-0.005,0.063,-0.024,0.014,0.004
Inflation_YoY_%,0.678,0.267,0.46,0.029,0.061,-0.164,-0.012,-0.005,1.0,-0.252,-0.007,0.623,-0.022,-0.083,0.12,-0.12,0.192
trade_to_reserves,-0.219,0.08,-0.101,0.006,-0.037,0.254,0.135,-0.035,-0.252,1.0,0.019,-0.351,-0.011,-0.064,-0.065,0.065,-0.737
export_growth_yoy,0.013,-0.008,0.012,-0.022,-0.031,0.061,0.021,0.013,-0.007,0.019,1.0,-0.009,0.015,0.03,0.018,-0.042,-0.028
m2_growth_yoy,0.392,-0.22,0.089,0.05,0.272,-0.025,0.044,0.099,0.623,-0.351,-0.009,1.0,0.017,-0.043,-0.016,0.08,0.265
credit_boom_yoy,-0.02,-0.024,-0.02,-0.0,0.01,0.062,0.007,-0.005,-0.022,-0.011,0.015,0.017,1.0,-0.003,-0.014,0.031,0.01
reer_misalignment,-0.039,0.007,0.138,-0.065,-0.206,-0.115,-0.09,0.063,-0.083,-0.064,0.03,-0.043,-0.003,1.0,0.067,-0.083,-0.126
std_vulnerability,0.056,0.024,0.154,-0.066,-0.135,-0.481,0.64,-0.024,0.12,-0.065,0.018,-0.016,-0.014,0.067,1.0,-0.409,-0.015
reserves_to_std_proxy,-0.097,-0.054,-0.14,0.025,0.068,0.599,-0.413,0.014,-0.12,0.065,-0.042,0.08,0.031,-0.083,-0.409,1.0,0.029
capital_flow_pct,0.167,-0.032,-0.152,0.652,0.243,-0.199,-0.102,0.004,0.192,-0.737,-0.028,0.265,0.01,-0.126,-0.015,0.029,1.0
